Id2,Geography,Estimate; Total Number of Housing Units,Margin of Error; Total
6013352201,"Census Tract 3522.01, Contra Costa County, California",2281,75
6013352202,"Census Tract 3522.02, Contra Costa County, California",976,41
6013353001,"Census Tract 3530.01, Contra Costa County, California",1402,47
6013353002,"Census Tract 3530.02, Contra Costa County, California",1526,47
6013354001,"Census Tract 3540.01, Contra Costa County, California",673,61
6013354002,"Census Tract 3540.02, Contra Costa County, California",2614,84
6013355101,"Census Tract 3551.01, Contra Costa County, California",5300,143
6013355104,"Census Tract 3551.04, Contra Costa County, California",9434,187
6013355106,"Census Tract 3551.06, Contra Costa County, California",5411,163
6013355200,"Census Tract 3552, Contra Costa County, California",2081,73
6013355301,"Census Tract 3553.01, Contra Costa County, California",2842,62
6013355302,"Census Tract 3553.02, Contra Costa County, California",1238,31
6013355303,"Census Tract 3553.03, Contra Costa County, California",452,15
6013355304,"Census Tract 3553.04, Contra Costa County, California",2989,126
6013355305,"Census Tract 3553.05, Contra Costa County, California",1407,78
6013356001,"Census Tract 3560.01, Contra Costa County, California",1339,37
6013356002,"Census Tract 3560.02, Contra Costa County, California",2474,138
6013357000,"Census Tract 3570, Contra Costa County, California",1812,49
6013358000,"Census Tract 3580, Contra Costa County, California",2244,91
6013359101,"Census Tract 3591.01, Contra Costa County, California",5714,168
6013359102,"Census Tract 3591.02, Contra Costa County, California",1897,118
6013359202,"Census Tract 3592.02, Contra Costa County, California",2236,152
6013359203,"Census Tract 3592.03, Contra Costa County, California",2472,121
6013359204,"Census Tract 3592.04, Contra Costa County, California",1555,71
6013360100,"Census Tract 3601, Contra Costa County, California",3465,84
6013360200,"Census Tract 3602, Contra Costa County, California",2110,50
6013361000,"Census Tract 3610, Contra Costa County, California",1820,40
6013362000,"Census Tract 3620, Contra Costa County, California",1275,54
6013363000,"Census Tract 3630, Contra Costa County, California",2941,70
6013364001,"Census Tract 3640.01, Contra Costa County, California",1683,46
6013364002,"Census Tract 3640.02, Contra Costa County, California",2066,59
6013365001,"Census Tract 3650.01, Contra Costa County, California",3973,147
6013365002,"Census Tract 3650.02, Contra Costa County, California",1606,67
6013366001,"Census Tract 3660.01, Contra Costa County, California",1401,78
6013366002,"Census Tract 3660.02, Contra Costa County, California",1763,92
6013367100,"Census Tract 3671, Contra Costa County, California",2152,96
6013367200,"Census Tract 3672, Contra Costa County, California",1713,58
6013368000,"Census Tract 3680, Contra Costa County, California",2516,135
6013369001,"Census Tract 3690.01, Contra Costa County, California",2844,148
6013369002,"Census Tract 3690.02, Contra Costa County, California",1187,44
6013370000,"Census Tract 3700, Contra Costa County, California",1235,49
6013371000,"Census Tract 3710, Contra Costa County, California",2157,73
6013372000,"Census Tract 3720, Contra Costa County, California",2474,92
6013373000,"Census Tract 3730, Contra Costa County, California",1250,45
6013374000,"Census Tract 3740, Contra Costa County, California",1919,73
6013375000,"Census Tract 3750, Contra Costa County, California",1346,48
6013376000,"Census Tract 3760, Contra Costa County, California",2121,82
6013377000,"Census Tract 3770, Contra Costa County, California",2507,98
6013378000,"Census Tract 3780, Contra Costa County, California",1898,83
6013379000,"Census Tract 3790, Contra Costa County, California",2082,74
6013380000,"Census Tract 3800, Contra Costa County, California",2902,174
6013381000,"Census Tract 3810, Contra Costa County, California",2184,90
6013382000,"Census Tract 3820, Contra Costa County, California",2861,134
6013383000,"Census Tract 3830, Contra Costa County, California",2195,81
6013384000,"Census Tract 3840, Contra Costa County, California",1572,77
6013385100,"Census Tract 3851, Contra Costa County, California",1073,60
6013385200,"Census Tract 3852, Contra Costa County, California",528,28
6013386000,"Census Tract 3860, Contra Costa County, California",1384,71
6013387000,"Census Tract 3870, Contra Costa County, California",1033,54
6013388000,"Census Tract 3880, Contra Costa County, California",1054,72
6013389100,"Census Tract 3891, Contra Costa County, California",839,45
6013389200,"Census Tract 3892, Contra Costa County, California",760,42
6013390100,"Census Tract 3901, Contra Costa County, California",870,47
6013390200,"Census Tract 3902, Contra Costa County, California",723,37
6013391000,"Census Tract 3910, Contra Costa County, California",1215,44
6013392000,"Census Tract 3920, Contra Costa County, California",1160,28
6015000101,"Census Tract 1.01, Del Norte County, California",1948,204
6015000102,"Census Tract 1.02, Del Norte County, California",1464,119
6015000103,"Census Tract 1.03, Del Norte County, California",3757,168
6015000201,"Census Tract 2.01, Del Norte County, California",1433,92
6015000202,"Census Tract 2.02, Del Norte County, California",1902,100
6015000203,"Census Tract 2.03, Del Norte County, California",549,71
6017030101,"Census Tract 301.01, El Dorado County, California",259,91
6017030102,"Census Tract 301.02, El Dorado County, California",2537,122
6017030200,"Census Tract 302, El Dorado County, California",2666,153
6017030300,"Census Tract 303, El Dorado County, California",3737,174
6017030401,"Census Tract 304.01, El Dorado County, California",3398,133
6017030402,"Census Tract 304.02, El Dorado County, California",2480,153
6017030501,"Census Tract 305.01, El Dorado County, California",3862,94
6017030502,"Census Tract 305.02, El Dorado County, California",1738,87
6017030503,"Census Tract 305.03, El Dorado County, California",2498,48
6017030601,"Census Tract 306.01, El Dorado County, California",1983,92
6017030602,"Census Tract 306.02, El Dorado County, California",2618,83
6017030603,"Census Tract 306.03, El Dorado County, California",1784,58
6017030701,"Census Tract 307.01, El Dorado County, California",2215,88
6017030702,"Census Tract 307.02, El Dorado County, California",3048,100
6017030703,"Census Tract 307.03, El Dorado County, California",5662,151
6017030704,"Census Tract 307.04, El Dorado County, California",2072,71
6017030801,"Census Tract 308.01, El Dorado County, California",1442,51
6017030803,"Census Tract 308.03, El Dorado County, California",2737,94
6017030804,"Census Tract 308.04, El Dorado County, California",2310,85
6017030805,"Census Tract 308.05, El Dorado County, California",3916,105
6017030806,"Census Tract 308.06, El Dorado County, California",2316,76
6017030901,"Census Tract 309.01, El Dorado County, California",1149,49
6017030902,"Census Tract 309.02, El Dorado County, California",1839,48
6017031000,"Census Tract 310, El Dorado County, California",2431,125
6017031100,"Census Tract 311, El Dorado County, California",2364,169
6017031200,"Census Tract 312, El Dorado County, California",1950,140
6017031301,"Census Tract 313.01, El Dorado County, California",1464,95
6017031302,"Census Tract 313.02, El Dorado County, California",2184,151
6017031402,"Census Tract 314.02, El Dorado County, California",2376,102
6017031403,"Census Tract 314.03, El Dorado County, California",797,12
6017031404,"Census Tract 314.04, El Dorado County, California",913,64
6017031405,"Census Tract 314.05, El Dorado County, California",1124,34
6017031406,"Census Tract 314.06, El Dorado County, California",2500,93
6017031502,"Census Tract 315.02, El Dorado County, California",2499,123
6017031503,"Census Tract 315.03, El Dorado County, California",1111,41
6017031504,"Census Tract 315.04, El Dorado County, California",2248,59
6019000100,"Census Tract 1, Fresno County, California",476,37
6019000200,"Census Tract 2, Fresno County, California",775,49
6019000300,"Census Tract 3, Fresno County, California",1045,84
6019000400,"Census Tract 4, Fresno County, California",1318,59
6019000500,"Census Tract 5, Fresno County, California",1990,73
6019000600,"Census Tract 6, Fresno County, California",2223,69
6019000700,"Census Tract 7, Fresno County, California",1215,78
6019000800,"Census Tract 8, Fresno County, California",128,36
6019000900,"Census Tract 9, Fresno County, California",1910,84
6019001000,"Census Tract 10, Fresno County, California",1011,49
6019001100,"Census Tract 11, Fresno County, California",775,51
6019001201,"Census Tract 12.01, Fresno County, California",1394,75
6019001202,"Census Tract 12.02, Fresno County, California",1055,46
6019001301,"Census Tract 13.01, Fresno County, California",1461,49
6019001302,"Census Tract 13.02, Fresno County, California",2002,65
6019001403,"Census Tract 14.03, Fresno County, California",2396,56
6019001404,"Census Tract 14.04, Fresno County, California",2713,127
6019001405,"Census Tract 14.05, Fresno County, California",2938,68
6019001406,"Census Tract 14.06, Fresno County, California",2505,113
6019001500,"Census Tract 15, Fresno County, California",707,64
6019001600,"Census Tract 16, Fresno County, California",1617,178
6019001700,"Census Tract 17, Fresno County, California",1577,72
6019001800,"Census Tract 18, Fresno County, California",1460,50
6019001900,"Census Tract 19, Fresno County, California",868,55
6019002000,"Census Tract 20, Fresno County, California",2055,48
6019002100,"Census Tract 21, Fresno County, California",2187,78
6019002200,"Census Tract 22, Fresno County, California",1729,48
6019002300,"Census Tract 23, Fresno County, California",1447,41
6019002400,"Census Tract 24, Fresno County, California",1395,64
6019002501,"Census Tract 25.01, Fresno County, California",1408,36
6019002502,"Census Tract 25.02, Fresno County, California",1303,36
6019002601,"Census Tract 26.01, Fresno County, California",1455,59
6019002602,"Census Tract 26.02, Fresno County, California",1048,23
6019002701,"Census Tract 27.01, Fresno County, California",1266,36
6019002702,"Census Tract 27.02, Fresno County, California",1494,39
6019002800,"Census Tract 28, Fresno County, California",1367,34
6019002901,"Census Tract 29.01, Fresno County, California",2567,57
6019002902,"Census Tract 29.02, Fresno County, California",2253,47
6019003001,"Census Tract 30.01, Fresno County, California",938,60
6019003002,"Census Tract 30.02, Fresno County, California",2098,45
6019003101,"Census Tract 31.01, Fresno County, California",4037,74
6019003102,"Census Tract 31.02, Fresno County, California",2997,91
6019003201,"Census Tract 32.01, Fresno County, California",1524,46
6019003202,"Census Tract 32.02, Fresno County, California",1758,38
6019003300,"Census Tract 33, Fresno County, California",2781,35
6019003400,"Census Tract 34, Fresno County, California",1586,78
6019003500,"Census Tract 35, Fresno County, California",2316,50
6019003600,"Census Tract 36, Fresno County, California",1803,39
6019003700,"Census Tract 37, Fresno County, California",2827,73
6019003801,"Census Tract 38.01, Fresno County, California",2680,107
