Id2,Geography,Total number of households,Total number of households- MOE,Median income (dollars); All households,Median income (dollars)- MOE; All households
6013313101,"Census Tract 3131.01, Contra Costa County, California",2862,206,46286,5153
6013313102,"Census Tract 3131.02, Contra Costa County, California",1340,96,59306,13056
6013313103,"Census Tract 3131.03, Contra Costa County, California",2376,136,64496,11881
6013313201,"Census Tract 3132.01, Contra Costa County, California",2269,111,54343,8430
6013313202,"Census Tract 3132.02, Contra Costa County, California",2895,147,67334,15458
6013314102,"Census Tract 3141.02, Contra Costa County, California",1766,138,55061,12390
6013314103,"Census Tract 3141.03, Contra Costa County, California",1710,106,40294,9254
6013314104,"Census Tract 3141.04, Contra Costa County, California",2392,168,48469,8098
6013314200,"Census Tract 3142, Contra Costa County, California",1812,119,44222,7098
6013315000,"Census Tract 3150, Contra Costa County, California",1375,40,87846,8052
6013316000,"Census Tract 3160, Contra Costa County, California",384,57,21458,14240
6013317000,"Census Tract 3170, Contra Costa County, California",1020,85,43811,10046
6013318000,"Census Tract 3180, Contra Costa County, California",1616,86,55926,10667
6013319000,"Census Tract 3190, Contra Costa County, California",3106,141,62752,6018
6013320001,"Census Tract 3200.01, Contra Costa County, California",1244,107,65078,18617
6013320002,"Census Tract 3200.02, Contra Costa County, California",3406,166,91059,9824
6013321101,"Census Tract 3211.01, Contra Costa County, California",2482,134,93885,6955
6013321102,"Census Tract 3211.02, Contra Costa County, California",2767,83,103075,12502
6013321103,"Census Tract 3211.03, Contra Costa County, California",1851,87,87431,12123
6013321200,"Census Tract 3212, Contra Costa County, California",2333,126,57350,8470
6013322000,"Census Tract 3220, Contra Costa County, California",2412,117,102454,14215
6013323000,"Census Tract 3230, Contra Costa County, California",1585,113,79426,21435
6013324000,"Census Tract 3240, Contra Costa County, California",4979,206,60454,5121
6013325000,"Census Tract 3250, Contra Costa County, California",2032,146,82083,19460
6013326000,"Census Tract 3260, Contra Costa County, California",1321,55,118594,12023
6013327000,"Census Tract 3270, Contra Costa County, California",2772,154,53947,7518
6013328000,"Census Tract 3280, Contra Costa County, California",1087,79,24577,7674
6013329000,"Census Tract 3290, Contra Costa County, California",2270,103,53184,5788
6013330000,"Census Tract 3300, Contra Costa County, California",1834,94,74542,9320
6013331000,"Census Tract 3310, Contra Costa County, California",2568,143,59615,12186
6013332000,"Census Tract 3320, Contra Costa County, California",2759,109,75080,9542
6013333100,"Census Tract 3331, Contra Costa County, California",3078,91,76199,4231
6013333200,"Census Tract 3332, Contra Costa County, California",2123,98,67005,10082
6013334001,"Census Tract 3340.01, Contra Costa County, California",1441,43,67481,4569
6013334003,"Census Tract 3340.03, Contra Costa County, California",1262,48,117946,11274
6013334004,"Census Tract 3340.04, Contra Costa County, California",3081,187,53438,10410
6013334005,"Census Tract 3340.05, Contra Costa County, California",405,50,80438,16188
6013335000,"Census Tract 3350, Contra Costa County, California",1221,89,67017,8971
6013336101,"Census Tract 3361.01, Contra Costa County, California",1426,110,46767,4813
6013336102,"Census Tract 3361.02, Contra Costa County, California",2553,113,41167,5814
6013336200,"Census Tract 3362, Contra Costa County, California",2490,131,45455,14236
6013337100,"Census Tract 3371, Contra Costa County, California",1166,47,94904,24338
6013337200,"Census Tract 3372, Contra Costa County, California",2976,141,49048,7785
6013337300,"Census Tract 3373, Contra Costa County, California",2324,61,105336,12515
6013338100,"Census Tract 3381, Contra Costa County, California",2963,138,65104,18904
6013338201,"Census Tract 3382.01, Contra Costa County, California",1403,46,93984,23355
6013338202,"Census Tract 3382.02, Contra Costa County, California",5546,234,79652,5278
6013338301,"Census Tract 3383.01, Contra Costa County, California",1037,45,125938,34174
6013338302,"Census Tract 3383.02, Contra Costa County, California",2162,54,122019,12824
6013339000,"Census Tract 3390, Contra Costa County, California",4459,230,66479,4293
6013340001,"Census Tract 3400.01, Contra Costa County, California",2391,146,73561,10029
6013340002,"Census Tract 3400.02, Contra Costa County, California",3177,64,108087,12008
6013341000,"Census Tract 3410, Contra Costa County, California",2223,91,96319,20101
6013342000,"Census Tract 3420, Contra Costa County, California",2351,110,116830,18809
6013343001,"Census Tract 3430.01, Contra Costa County, California",2143,86,83958,11654
6013343002,"Census Tract 3430.02, Contra Costa County, California",2073,96,93125,21866
6013343003,"Census Tract 3430.03, Contra Costa County, California",1513,75,131156,22144
6013344000,"Census Tract 3440, Contra Costa County, California",479,50,140559,41045
6013345101,"Census Tract 3451.01, Contra Costa County, California",1567,103,86081,12243
6013345102,"Census Tract 3451.02, Contra Costa County, California",1066,37,132237,14143
6013345103,"Census Tract 3451.03, Contra Costa County, California",1503,62,119550,16161
6013345105,"Census Tract 3451.05, Contra Costa County, California",1941,102,111161,13102
6013345107,"Census Tract 3451.07, Contra Costa County, California",3648,118,135875,9528
6013345108,"Census Tract 3451.08, Contra Costa County, California",2502,110,113163,14595
6013345109,"Census Tract 3451.09, Contra Costa County, California",3118,131,104785,10375
6013345110,"Census Tract 3451.10, Contra Costa County, California",2098,101,132500,11485
6013345201,"Census Tract 3452.01, Contra Costa County, California",3875,159,131174,11940
6013345202,"Census Tract 3452.02, Contra Costa County, California",2671,70,105153,7535
6013346101,"Census Tract 3461.01, Contra Costa County, California",1343,51,139191,8367
6013346102,"Census Tract 3461.02, Contra Costa County, California",2068,99,184762,27704
6013346201,"Census Tract 3462.01, Contra Costa County, California",2621,93,136339,21493
6013346202,"Census Tract 3462.02, Contra Costa County, California",3715,134,144663,14288
6013347000,"Census Tract 3470, Contra Costa County, California",2322,71,171552,22614
6013348000,"Census Tract 3480, Contra Costa County, California",1549,92,137137,24170
6013349000,"Census Tract 3490, Contra Costa County, California",1850,120,108152,13361
6013350000,"Census Tract 3500, Contra Costa County, California",2387,107,110841,20111
6013351100,"Census Tract 3511, Contra Costa County, California",5970,247,50917,4861
6013351200,"Census Tract 3512, Contra Costa County, California",2078,83,141429,12681
6013352101,"Census Tract 3521.01, Contra Costa County, California",778,64,152813,13817
6013352102,"Census Tract 3521.02, Contra Costa County, California",1831,99,147422,17565
6013352201,"Census Tract 3522.01, Contra Costa County, California",2242,79,90536,19487
6013352202,"Census Tract 3522.02, Contra Costa County, California",941,51,111875,14620
6013353001,"Census Tract 3530.01, Contra Costa County, California",1372,56,159722,20669
6013353002,"Census Tract 3530.02, Contra Costa County, California",1451,62,154811,32903
6013354001,"Census Tract 3540.01, Contra Costa County, California",638,69,158913,40849
6013354002,"Census Tract 3540.02, Contra Costa County, California",2558,103,183519,15996
6013355101,"Census Tract 3551.01, Contra Costa County, California",5108,201,88427,5639
6013355104,"Census Tract 3551.04, Contra Costa County, California",8875,233,153430,8226
6013355106,"Census Tract 3551.06, Contra Costa County, California",4872,228,101717,7564
6013355200,"Census Tract 3552, Contra Costa County, California",1753,99,74771,23275
6013355301,"Census Tract 3553.01, Contra Costa County, California",2784,97,118831,5217
6013355302,"Census Tract 3553.02, Contra Costa County, California",1225,40,151193,30640
6013355303,"Census Tract 3553.03, Contra Costa County, California",452,15,117647,47706
6013355304,"Census Tract 3553.04, Contra Costa County, California",2845,125,123527,23614
6013355305,"Census Tract 3553.05, Contra Costa County, California",1407,78,111023,15539
6013356001,"Census Tract 3560.01, Contra Costa County, California",1317,52,66701,8851
6013356002,"Census Tract 3560.02, Contra Costa County, California",2432,145,100595,13043
6013357000,"Census Tract 3570, Contra Costa County, California",1633,113,80306,11437
6013358000,"Census Tract 3580, Contra Costa County, California",2124,112,47435,14302
6013359101,"Census Tract 3591.01, Contra Costa County, California",5291,220,82054,7567
6013359102,"Census Tract 3591.02, Contra Costa County, California",1686,130,67500,11029
6013359202,"Census Tract 3592.02, Contra Costa County, California",2161,153,97708,10063
6013359203,"Census Tract 3592.03, Contra Costa County, California",2472,121,79063,19121
6013359204,"Census Tract 3592.04, Contra Costa County, California",1425,93,94432,20400
6013360100,"Census Tract 3601, Contra Costa County, California",3332,140,90637,10335
6013360200,"Census Tract 3602, Contra Costa County, California",1873,128,65742,5145
6013361000,"Census Tract 3610, Contra Costa County, California",1583,117,71951,13472
6013362000,"Census Tract 3620, Contra Costa County, California",1125,94,91685,7692
6013363000,"Census Tract 3630, Contra Costa County, California",2891,107,70951,9498
6013364001,"Census Tract 3640.01, Contra Costa County, California",1670,49,66875,12492
6013364002,"Census Tract 3640.02, Contra Costa County, California",1957,101,67648,6762
6013365001,"Census Tract 3650.01, Contra Costa County, California",3558,195,79127,4113
6013365002,"Census Tract 3650.02, Contra Costa County, California",1345,104,37330,9471
6013366001,"Census Tract 3660.01, Contra Costa County, California",1341,79,60694,17199
6013366002,"Census Tract 3660.02, Contra Costa County, California",1677,115,53305,5307
6013367100,"Census Tract 3671, Contra Costa County, California",1943,141,55799,11163
6013367200,"Census Tract 3672, Contra Costa County, California",1629,85,52739,5355
6013368000,"Census Tract 3680, Contra Costa County, California",2140,189,43676,7764
6013369001,"Census Tract 3690.01, Contra Costa County, California",2600,190,40685,6151
6013369002,"Census Tract 3690.02, Contra Costa County, California",1098,82,59781,6349
6013370000,"Census Tract 3700, Contra Costa County, California",1173,83,67212,13999
6013371000,"Census Tract 3710, Contra Costa County, California",2004,113,52337,11368
6013372000,"Census Tract 3720, Contra Costa County, California",2303,169,61424,6980
6013373000,"Census Tract 3730, Contra Costa County, California",1134,92,40450,11823
6013374000,"Census Tract 3740, Contra Costa County, California",1742,147,51938,7711
6013375000,"Census Tract 3750, Contra Costa County, California",1149,114,40545,6588
6013376000,"Census Tract 3760, Contra Costa County, California",1749,130,27623,3189
6013377000,"Census Tract 3770, Contra Costa County, California",1937,190,33368,5646
6013378000,"Census Tract 3780, Contra Costa County, California",1434,134,83175,17910
6013379000,"Census Tract 3790, Contra Costa County, California",1623,148,36431,8700
6013380000,"Census Tract 3800, Contra Costa County, California",2388,230,62083,9508
6013381000,"Census Tract 3810, Contra Costa County, California",1829,163,43783,8696
6013382000,"Census Tract 3820, Contra Costa County, California",2470,203,40500,9578
6013383000,"Census Tract 3830, Contra Costa County, California",2141,96,51370,12545
6013384000,"Census Tract 3840, Contra Costa County, California",1487,82,101719,9238
6013385100,"Census Tract 3851, Contra Costa County, California",1023,68,107813,20043
6013385200,"Census Tract 3852, Contra Costa County, California",459,54,99276,22578
6013386000,"Census Tract 3860, Contra Costa County, California",1316,90,53107,6813
6013387000,"Census Tract 3870, Contra Costa County, California",987,67,69728,6958
6013388000,"Census Tract 3880, Contra Costa County, California",1018,76,72500,18158
6013389100,"Census Tract 3891, Contra Costa County, California",811,63,56855,14257
